Configuration
batch_size = 128
cuda = True
data = './data/wikitext-2'
dry_run = False
emsize = 100
epochs = 10
eval_batch_size = 128
log_interval = 200
lr = 0.001
nhid = 100
onnx_export = ''
save = 'model.pt'
seed = 1111
seq_size = 6
skip_train = False
tied = False

| epoch   3 |  6800/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.81 | ppl    16.53
| epoch   3 |  7000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.80 | ppl    16.50
| epoch   3 |  7200/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.78 | ppl    16.16
| epoch   3 |  7400/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.76 | ppl    15.82
| epoch   3 |  7600/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.73 | ppl    15.40
| epoch   3 |  7800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.75 | ppl    15.61
| epoch   3 |  8000/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.83 | ppl    16.99
| epoch   3 |  8200/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.80 | ppl    16.44
| epoch   3 |  8400/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.78 | ppl    16.07
| epoch   3 |  8600/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.77 | ppl    16.03
| epoch   3 |  8800/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.77 | ppl    15.89
| epoch   3 |  9000/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.75 | ppl    15.67
| epoch   3 |  9200/16311 batches | lr 1.00e-03 | ms/batch  5.62 | loss  2.76 | ppl    15.78
| epoch   3 |  9400/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.77 | ppl    15.98
| epoch   3 |  9600/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  2.79 | ppl    16.27
| epoch   3 |  9800/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.77 | ppl    15.90
| epoch   3 | 10000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.80 | ppl    16.46
| epoch   3 | 10200/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.75 | ppl    15.71
| epoch   3 | 10400/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.77 | ppl    15.93
| epoch   3 | 10600/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  2.76 | ppl    15.76
| epoch   3 | 10800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.76 | ppl    15.75
| epoch   3 | 11000/16311 batches | lr 1.00e-03 | ms/batch  5.62 | loss  2.76 | ppl    15.72
| epoch   3 | 11200/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.75 | ppl    15.66
| epoch   3 | 11400/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  2.71 | ppl    15.10
| epoch   3 | 11600/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  2.75 | ppl    15.61
| epoch   3 | 11800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.73 | ppl    15.33
| epoch   3 | 12000/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.72 | ppl    15.13
| epoch   3 | 12200/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.73 | ppl    15.39
| epoch   3 | 12400/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.73 | ppl    15.29
| epoch   3 | 12600/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.71 | ppl    15.04
| epoch   3 | 12800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.74 | ppl    15.48
| epoch   3 | 13000/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  2.73 | ppl    15.29
| epoch   3 | 13200/16311 batches | lr 1.00e-03 | ms/batch  5.61 | loss  2.70 | ppl    14.89
| epoch   3 | 13400/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.71 | ppl    15.04
| epoch   3 | 13600/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.72 | ppl    15.19
| epoch   3 | 13800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.69 | ppl    14.73
| epoch   3 | 14000/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.73 | ppl    15.27
| epoch   3 | 14200/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.75 | ppl    15.59
| epoch   3 | 14400/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.75 | ppl    15.57
| epoch   3 | 14600/16311 batches | lr 1.00e-03 | ms/batch  5.61 | loss  2.76 | ppl    15.83
